epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5832.36,0.41647,0.33448,0.79036,0.97301,0.98774,0.98904,0.94063,0.33772,0.21145,0.77692,0.005842,0.005842,0.005842
44,5968.93,0.41696,0.33306,0.79107,0.9738,0.98595,0.98896,0.94209,0.33545,0.21044,0.77685,0.005743,0.005743,0.005743
45,6105.1,0.41134,0.32911,0.78833,0.97493,0.98528,0.98902,0.94155,0.33722,0.20992,0.77688,0.005644,0.005644,0.005644
46,6241.32,0.41174,0.33082,0.7896,0.97442,0.9884,0.98947,0.94319,0.33354,0.2072,0.77637,0.005545,0.005545,0.005545
47,6377.71,0.40994,0.32653,0.78944,0.97466,0.98743,0.98949,0.94293,0.33383,0.20635,0.7764,0.005446,0.005446,0.005446
48,6513.84,0.40931,0.32605,0.78966,0.97234,0.99114,0.98956,0.94307,0.33361,0.20491,0.77641,0.005347,0.005347,0.005347
49,6650.09,0.40717,0.32381,0.78825,0.97644,0.98488,0.98963,0.94445,0.33053,0.20378,0.776,0.005248,0.005248,0.005248
50,6786.39,0.40512,0.31941,0.78926,0.97617,0.98759,0.98992,0.94502,0.32896,0.20193,0.7759,0.005149,0.005149,0.005149
51,6922.58,0.40311,0.31921,0.78885,0.9754,0.99137,0.99013,0.9454,0.32862,0.20093,0.77578,0.00505,0.00505,0.00505
52,7058.96,0.40228,0.31621,0.78908,0.97651,0.99012,0.99022,0.94668,0.3256,0.19952,0.77554,0.004951,0.004951,0.004951
53,7195.18,0.40124,0.31273,0.78832,0.97651,0.98925,0.99013,0.94623,0.32851,0.19948,0.77573,0.004852,0.004852,0.004852
54,7331.22,0.39655,0.3101,0.78802,0.97596,0.9881,0.99001,0.9466,0.32759,0.19941,0.77571,0.004753,0.004753,0.004753
55,7467.08,0.3969,0.31307,0.78832,0.97534,0.99108,0.99036,0.94673,0.32762,0.19778,0.77567,0.004654,0.004654,0.004654
56,7603.31,0.39562,0.30885,0.78836,0.97762,0.98937,0.99049,0.94722,0.32617,0.19662,0.77544,0.004555,0.004555,0.004555
57,7739.44,0.39212,0.30559,0.78756,0.97819,0.98805,0.9904,0.94791,0.3247,0.19619,0.7753,0.004456,0.004456,0.004456
58,7875.35,0.39093,0.30414,0.78715,0.98047,0.98604,0.99056,0.94867,0.32416,0.19494,0.77521,0.004357,0.004357,0.004357
59,8011.44,0.38812,0.30379,0.78717,0.97996,0.98852,0.99072,0.94949,0.32142,0.19341,0.77495,0.004258,0.004258,0.004258
60,8147.84,0.38697,0.29999,0.78719,0.97969,0.98955,0.99085,0.95024,0.32011,0.19252,0.77483,0.004159,0.004159,0.004159
61,8283.93,0.38629,0.29891,0.78733,0.97955,0.98973,0.99092,0.95076,0.31875,0.19184,0.77467,0.00406,0.00406,0.00406
62,8420,0.3843,0.29878,0.78697,0.97951,0.98923,0.99092,0.95099,0.31796,0.19096,0.77455,0.003961,0.003961,0.003961
63,8556.25,0.38341,0.29525,0.78673,0.97956,0.98993,0.9909,0.95132,0.31743,0.19063,0.77449,0.003862,0.003862,0.003862
64,8692.64,0.38185,0.29532,0.78698,0.98079,0.98871,0.99092,0.95176,0.31671,0.18992,0.77438,0.003763,0.003763,0.003763
65,8829,0.38046,0.29196,0.7863,0.98179,0.98811,0.99096,0.95214,0.31587,0.18923,0.77432,0.003664,0.003664,0.003664
66,8965.62,0.37889,0.28849,0.78558,0.98204,0.98844,0.99098,0.95276,0.31452,0.18853,0.7742,0.003565,0.003565,0.003565
67,9101.77,0.37761,0.28666,0.78638,0.98101,0.9887,0.99098,0.95291,0.31406,0.18817,0.77414,0.003466,0.003466,0.003466
68,9238.07,0.37517,0.28486,0.78656,0.97991,0.98954,0.99092,0.953,0.31399,0.18796,0.77411,0.003367,0.003367,0.003367
69,9374.14,0.37296,0.28423,0.78518,0.97933,0.99068,0.99088,0.95314,0.3137,0.18767,0.77405,0.003268,0.003268,0.003268
70,9510.38,0.37263,0.28212,0.78476,0.97846,0.99156,0.99091,0.95336,0.31342,0.1875,0.77402,0.003169,0.003169,0.003169
71,9646.5,0.37067,0.27942,0.78474,0.97877,0.99129,0.99092,0.95341,0.31303,0.18713,0.77398,0.00307,0.00307,0.00307
72,9782.43,0.36862,0.27848,0.78596,0.97893,0.9914,0.99093,0.95335,0.31296,0.18669,0.77394,0.002971,0.002971,0.002971
73,9918.56,0.36728,0.27632,0.78495,0.97851,0.99209,0.99094,0.95361,0.31257,0.18625,0.77392,0.002872,0.002872,0.002872
74,10055,0.36898,0.27694,0.78428,0.9783,0.99225,0.99094,0.95391,0.3121,0.18599,0.77385,0.002773,0.002773,0.002773
75,10191.3,0.36561,0.27388,0.78496,0.97828,0.99251,0.99096,0.9542,0.31167,0.18583,0.77381,0.002674,0.002674,0.002674
