epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,600.206,0.8476,4.449,1.16232,0.01151,0.00485,0.00827,0.00811,0.47013,4.24441,0.86557,5.86885e-05,5.86885e-05,5.86885e-05
2,2883.81,0.69143,3.96555,1.05945,0.02764,0.8606,0.06936,0.06246,0.50647,3.71885,0.91547,0.000116012,0.000116012,0.000116012
3,5908.4,0.6769,3.51365,1.06534,0.25089,0.25127,0.14234,0.12573,0.52696,3.10517,0.9566,0.000170972,0.000170972,0.000170972
4,6356.27,0.71278,3.08217,1.11643,0.19136,0.52107,0.26099,0.22805,0.53923,2.63343,1.0191,0.000168367,0.000168367,0.000168367
5,6839.46,0.70501,2.65161,1.1311,0.32058,0.59582,0.39509,0.34929,0.56151,2.28796,1.06018,0.000164823,0.000164823,0.000164823
6,7268.86,0.71285,2.3688,1.14274,0.45237,0.66568,0.50328,0.44176,0.55412,2.04489,1.0776,0.000161279,0.000161279,0.000161279
