epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1157.33,0.45507,0.70312,0.96908,0.97138,0.96562,0.98671,0.89068,0.45576,0.41996,0.96723,3.7232e-05,3.7232e-05,3.7232e-05
42,1184.16,0.44377,0.64078,0.9622,0.97383,0.96856,0.98868,0.89238,0.44754,0.39991,0.96364,3.36878e-05,3.36878e-05,3.36878e-05
43,1210.89,0.43702,0.62838,0.95705,0.97166,0.97236,0.98909,0.8933,0.44809,0.38846,0.96361,3.01436e-05,3.01436e-05,3.01436e-05
44,1237.46,0.43268,0.60968,0.95106,0.9766,0.9656,0.98967,0.89613,0.44643,0.3892,0.96098,2.65994e-05,2.65994e-05,2.65994e-05
45,1264.04,0.42872,0.59796,0.94536,0.97342,0.96614,0.98852,0.89311,0.45062,0.38884,0.96215,2.30552e-05,2.30552e-05,2.30552e-05
46,1290.49,0.43028,0.59818,0.9572,0.97854,0.97164,0.98888,0.8972,0.44247,0.38154,0.95894,1.9511e-05,1.9511e-05,1.9511e-05
47,1317.05,0.4278,0.59508,0.94993,0.97692,0.96912,0.98878,0.89488,0.44416,0.3781,0.96141,1.59668e-05,1.59668e-05,1.59668e-05
48,1343.09,0.42471,0.58764,0.94974,0.9815,0.96568,0.98914,0.89589,0.44404,0.37991,0.95881,1.24226e-05,1.24226e-05,1.24226e-05
49,1370.61,0.42236,0.58523,0.94509,0.97773,0.96627,0.98892,0.8969,0.44431,0.37988,0.95786,8.8784e-06,8.8784e-06,8.8784e-06
50,1395.89,0.42521,0.58651,0.95059,0.97996,0.96591,0.98895,0.89764,0.44065,0.3771,0.95558,5.3342e-06,5.3342e-06,5.3342e-06
